config_name,algorithmic_delay,inference_interval,method,channels,synthetic_pesq,synthetic_si_sdr,synthetic_dnsmos_ovr,synthetic_distillmos,synthetic_xls_r_mos,blind_dnsmos_ovr,blind_distillmos,blind_xls_r_mos,combined_nonintrusive
exp_cmask_40ms_multiframe_lookahead,40.0,10,DF,"[27, 35, 43, 50]",1.9382017333142996,8.33831156233669,2.617090405973495,2.6396594847789556,2.6140546318250504,2.753983710410647,3.1926060175327113,2.7218497222587437,2.7565406621299338
dfnet,40.0,10,DF (DFNet),,2.065169389685542,7.78085684029104,2.696101872969744,2.811383655001226,2.7112372050566655,2.7621862543276867,3.087171590578653,2.6414997793746187,2.784930059551433
exp_cmask_20ms,20.0,10,CMask,"[28, 38, 46, 54]",1.9374730459866631,8.10575900302231,2.540009194334995,2.5145175557031716,2.488012883821214,2.70032090831252,3.0176619910097062,2.6164110242073395,2.646155592898158
exp_td_20ms,20.0,10,TD,"[28, 37, 46, 54]",1.9432668516637557,7.987302908232543,2.524680683501615,2.482299957813517,2.4417047243186727,2.639280058909565,2.8366534983208602,2.4770726321632583,2.5669485925045814
exp_cmask_10ms_ds2,10.0,10,CMask,"[28, 37, 46, 54]",1.8846363901854386,7.762485077612645,2.4639506138145992,2.4623024073171,2.4051839690498293,2.6461933585753794,2.899601330617312,2.49948550847127,2.562786197974248
exp_cmask_10ms,10.0,5,CMask,"[21, 26, 31, 36]",1.867810922468277,7.506472331563062,2.4643466645433496,2.4444178782785158,2.389215465708673,2.644760610777046,2.917440218184549,2.5120089146870783,2.562031625363202
exp_td_10ms_interval10,10.0,10,TD,"[28, 37, 46, 54]",1.864055510163751,7.53872265944916,2.4771706692093036,2.430063641288826,2.3476773575220506,2.622395835490444,2.7983979771313034,2.453215681891055,2.521486860422164
exp_td_10ms_interval5,10.0,5,TD,"[21, 25, 30, 34]",1.8617276508560736,7.447908732277188,2.469215968818033,2.3913792172882147,2.3396502515673374,2.6563300826855984,2.85117960799297,2.4794351513405344,2.531198379948781
exp_cmask_5ms_ds4,5.0,10,CMask,"[28, 36, 44, 52]",1.7897271235651129,7.054901052335267,2.408888311049013,2.4012734689653317,2.3186272242869768,2.5985478397055353,2.795073492886351,2.462232515441999,2.4974404753892014
exp_cmask_5ms_ds2,5.0,5,CMask,"[19, 25, 31, 36]",1.8183183319530294,7.0789866428391885,2.4209937486099484,2.3991671161214074,2.318319221368899,2.5990833590311695,2.765570196235217,2.4006586098179064,2.4839653751974247
exp_td_5ms_interval10,5.0,10,TD,"[28, 37, 46, 54]",1.786988886515428,7.030627975279371,2.4219997653732848,2.3259130624461,2.2748910728123137,2.6139044681805346,2.7042910148305825,2.462099409231459,2.467183132145712
exp_td_5ms_interval5,5.0,5,TD,"[21, 25, 30, 34]",1.8189307211768575,7.130657051966014,2.433118833089974,2.325302736887662,2.2755324308706926,2.570916001410576,2.6352469571865274,2.3756506795069647,2.435961273158733
exp_cmask_2_5ms_ds8,2.5,10,CMask,"[25, 33, 42, 50]",1.7392797739122612,6.4886501902726845,2.3933255598722036,2.3205713612380814,2.2658038411385886,2.566111857914779,2.6498940462382716,2.383303732705393,2.4298350665178865
exp_cmask_2_5ms_ds4,2.5,5,CMask,"[19, 24, 28, 32]",1.7603602331702923,6.500478513741376,2.3805030514235686,2.3198606709916496,2.244299582402756,2.543449145764542,2.6482052805965495,2.4047013488627007,2.423503180006961
exp_td_2_5ms_interval10,2.5,10,TD,"[28, 37, 46, 54]",1.7432391828766336,6.571812374119557,2.393772547372723,2.290636100508295,2.240478392911422,2.5795392320651263,2.632525229070763,2.392369989377154,2.421553581884247
exp_td_2_5ms_interval5,2.5,5,TD,"[21, 25, 30, 34]",1.7729746641773028,6.519642967422724,2.3998892771380462,2.2623491139077028,2.227675053141827,2.551733699581818,2.595339843676502,2.3388229770288755,2.395968327412462
exp_td_-5ms_interval5,-5.0,5,TD,"[21, 25, 30, 34]",1.526551813796229,4.24239994359736,2.3133888964281333,2.0277239731853616,2.06481883133695,2.436427964871038,2.1726025638557958,2.0978051474833337,2.185461229526769
exp_td_-5ms_interval5_big,-5.0,5,TD,"[32, 64, 128, 128]",1.615540805060623,5.372032375058723,2.353937513103641,2.0925902934951917,2.1269582947458927,2.4930360184075986,2.359546118063811,2.256683623953471,2.280458643628268
